CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-513,Native Hawaiian or Pacific Islander,Race Alone,15
OCT 2023 to SEP 2024,CA-513,Native Hawaiian or Pacific Islander,Race Combination,25
OCT 2023 to SEP 2024,CA-513,White,Race Alone,1564
OCT 2023 to SEP 2024,CA-513,White,Race Combination,1665
OCT 2023 to SEP 2024,CA-513,Middle Eastern or North African,Race Alone,11
OCT 2023 to SEP 2024,CA-513,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-514,"American Indian, Alaska Native, or Indigenous",Race Alone,296
OCT 2023 to SEP 2024,CA-514,"American Indian, Alaska Native, or Indigenous",Race Combination,385
OCT 2023 to SEP 2024,CA-514,Asian or Asian American,Race Alone,293
OCT 2023 to SEP 2024,CA-514,Asian or Asian American,Race Combination,69
OCT 2023 to SEP 2024,CA-514,"Black, African American, or African",Race Alone,2145
OCT 2023 to SEP 2024,CA-514,"Black, African American, or African",Race Combination,327
OCT 2023 to SEP 2024,CA-514,Hispanic/Latina/e/o,Race Alone,2463
OCT 2023 to SEP 2024,CA-514,Hispanic/Latina/e/o,Race Combination,3201
OCT 2023 to SEP 2024,CA-514,Native Hawaiian or Pacific Islander,Race Alone,53
OCT 2023 to SEP 2024,CA-514,Native Hawaiian or Pacific Islander,Race Combination,57
OCT 2023 to SEP 2024,CA-514,White,Race Alone,3136
OCT 2023 to SEP 2024,CA-514,White,Race Combination,2977
OCT 2023 to SEP 2024,CA-514,Middle Eastern or North African,Race Alone,17
OCT 2023 to SEP 2024,CA-514,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-515,"American Indian, Alaska Native, or Indigenous",Race Alone,68
OCT 2023 to SEP 2024,CA-515,"American Indian, Alaska Native, or Indigenous",Race Combination,101
OCT 2023 to SEP 2024,CA-515,Asian or Asian American,Race Alone,38
OCT 2023 to SEP 2024,CA-515,Asian or Asian American,Race Combination,27
OCT 2023 to SEP 2024,CA-515,"Black, African American, or African",Race Alone,225
OCT 2023 to SEP 2024,CA-515,"Black, African American, or African",Race Combination,103
OCT 2023 to SEP 2024,CA-515,Hispanic/Latina/e/o,Race Alone,102
OCT 2023 to SEP 2024,CA-515,Hispanic/Latina/e/o,Race Combination,300
OCT 2023 to SEP 2024,CA-515,Native Hawaiian or Pacific Islander,Race Alone,15
OCT 2023 to SEP 2024,CA-515,Native Hawaiian or Pacific Islander,Race Combination,38
OCT 2023 to SEP 2024,CA-515,White,Race Alone,1468
OCT 2023 to SEP 2024,CA-515,White,Race Combination,349
OCT 2023 to SEP 2024,CA-515,Middle Eastern or North African,Race Alone,11
OCT 2023 to SEP 2024,CA-515,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-516,"American Indian, Alaska Native, or Indigenous",Race Alone,160
OCT 2023 to SEP 2024,CA-516,"American Indian, Alaska Native, or Indigenous",Race Combination,190
OCT 2023 to SEP 2024,CA-516,Asian or Asian American,Race Alone,19
OCT 2023 to SEP 2024,CA-516,Asian or Asian American,Race Combination,28
OCT 2023 to SEP 2024,CA-516,"Black, African American, or African",Race Alone,99
OCT 2023 to SEP 2024,CA-516,"Black, African American, or African",Race Combination,86
OCT 2023 to SEP 2024,CA-516,Hispanic/Latina/e/o,Race Alone,86
OCT 2023 to SEP 2024,CA-516,Hispanic/Latina/e/o,Race Combination,164
OCT 2023 to SEP 2024,CA-516,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-516,Native Hawaiian or Pacific Islander,Race Combination,15
OCT 2023 to SEP 2024,CA-516,White,Race Alone,1659
OCT 2023 to SEP 2024,CA-516,White,Race Combination,340
OCT 2023 to SEP 2024,CA-516,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-516,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-517,"American Indian, Alaska Native, or Indigenous",Race Alone,16
OCT 2023 to SEP 2024,CA-517,"American Indian, Alaska Native, or Indigenous",Race Combination,85
OCT 2023 to SEP 2024,CA-517,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-517,Asian or Asian American,Race Combination,*
